Ev(kJ/mol),Rv(A),x,y,z
-21.627314195444445,2.201,31.665,18.081,12.993
-22.494590604599374,2.071,31.121,17.961,12.702
-22.325651610059147,2.306,31.639,18.267,12.917
-22.397511705328842,2.292,31.607,18.248,12.897
-10.435505200868006,3.491,23.731,13.791,3.31
-13.648516703131937,3.005,22.487,13.429,3.822
-10.682115033570126,2.587,23.789,13.768,0.041
-19.34917455946424,2.544,32.215,18.645,13.195
-19.06816218175726,2.586,32.291,18.621,13.19
-18.85226036107703,2.606,32.316,18.646,13.197
-9.859942868109993,3.630,23.961,13.834,3.25
-12.416092896001585,3.101,23.005,13.615,3.511
-20.0575517801061,2.485,32.097,18.602,13.153
-12.916652278907886,3.372,22.903,13.223,4.113
-19.248474475257275,2.582,32.26,18.625,13.17
-11.216956895654093,2.994,13.884,13.751,2.918
-10.273199337731304,3.456,13.517,13.834,3.215
-13.76184798108251,2.998,14.839,13.394,3.872
-11.83407886172804,3.236,14.029,13.662,3.493
-22.234155479873674,2.316,24.2,18.292,12.934
-12.989734730533653,3.370,14.404,13.196,4.151
-21.35777275586971,2.222,24.299,18.449,13.058
-21.33532221287016,2.194,24.379,18.417,13.03
-13.021296025345936,3.286,14.398,13.094,4.079
-9.828532112141119,3.634,13.285,13.839,3.243
-21.240453189217142,2.336,24.074,18.508,13.087
-12.941914762095632,3.373,14.368,13.214,4.127
-16.980197841493588,2.196,17.193,13.149,3.948
-16.860426307644012,2.152,17.661,13.229,4.041
-16.12500938534964,2.593,17.439,12.964,4.515
-17.11915589933821,2.470,17.214,13.117,4.27
-16.002285750665543,2.055,18.089,13.228,4.023
-17.30394949692818,2.429,17.221,13.161,4.216
-17.31829352974778,2.329,17.904,13.102,4.318
-12.336440486739969,3.052,17.561,12.529,5.079
-11.284794895901339,3.206,17.682,12.401,5.266
-17.34646696673748,2.416,17.183,13.177,4.183
-17.315309512028602,2.232,18.72,13.112,4.255
-17.338498383236395,2.284,18.361,13.091,4.321
-10.403383360595083,3.346,17.406,12.288,5.433
-6.452682195440828,4.741,17.755,11.254,6.902
-5.7210189799865745,5.469,18.555,10.832,7.535
-5.8293878404018,5.147,18.272,10.781,7.236
-5.724120606894247,5.451,18.555,10.849,7.512
-5.728314015423329,5.369,18.454,10.75,7.433
-5.71357126888737,5.548,18.62,10.758,7.6
-8.092130468034396,4.127,17.022,11.681,6.264
-7.7700315739541335,3.969,17.966,11.829,6.105
-5.787033978266752,5.267,18.31,10.897,7.364
-5.722194157807883,5.469,18.516,10.78,7.53
-12.71033146983927,3.373,15.415,12.616,4.984
-14.125109942097046,2.919,14.995,12.368,4.266
-14.979885120654108,2.762,15.369,13.336,3.919
-13.29963268483727,3.320,14.896,12.919,4.53
-13.255914797421651,2.912,16.959,12.696,4.889
-15.849846434372273,2.427,15.564,13.292,3.621
-17.38674738604683,2.366,17.033,13.242,4.083
-16.728985748998532,2.460,16.13,13.336,3.931
-11.780354053508777,3.477,15.812,12.36,5.315
-13.910382046267197,2.846,15.769,11.564,4.694
-14.272822670207635,2.799,15.719,11.554,4.622
-9.809463450513293,3.772,16.458,12.01,5.831
-11.667208817449112,3.491,15.875,12.375,5.349
-16.778126866298607,2.456,15.146,11.587,3.951
-16.99094814494946,2.420,15.247,11.438,3.977
-17.24738691380355,2.300,16.905,13.31,3.963
-17.190024013993934,2.319,16.55,13.34,3.902
-17.065603599450824,2.387,16.376,13.337,3.936
-17.31783170629358,2.328,16.927,13.299,4.003
-16.998443457408342,2.405,16.313,13.339,3.932
-13.117865123928913,3.291,14.556,13.203,4.157
-13.283813752429277,3.331,14.699,13.034,4.382
-13.259641013874441,3.338,14.644,13.065,4.341
-13.072382998348631,3.359,14.475,13.17,4.202
-19.47690070297078,2.053,24.655,18.38,12.983
-17.838808009576486,1.993,24.762,18.375,12.983
-22.59562613597805,2.124,24.615,18.071,12.759
-21.2828267041685,2.175,24.431,18.401,13.002
-22.318611771201915,2.301,24.241,18.273,12.914
-16.886276034441725,2.227,20.247,13.359,3.921
-16.667209297695088,2.198,20.234,13.376,3.897
-16.86719430845624,2.130,19.21,13.237,4.136
-14.528284048723346,2.258,22.365,13.972,2.994
-14.71519683810597,2.780,22.07,13.428,3.844
-12.61896702287807,2.283,22.89,14.419,2.416
-11.567594110042226,2.291,23.106,14.685,1.995
-9.444971599197318,3.666,24.068,13.914,3.161
-8.83616160182882,3.719,24.231,14.024,3.021
-9.108725351725738,3.709,24.169,13.96,3.083
-7.47839076024046,3.923,24.624,14.22,2.708
-9.613128773104549,3.653,24.026,13.877,3.197
-5.131411772729144,4.469,25.457,14.7,2.025
-8.9845560627821,2.665,33.098,20.254,14.806
-3.8211671736759936,5.067,26.167,15.168,1.414
-3.8002059907182697,5.094,26.196,15.166,1.402
-4.939977156973341,4.327,34.721,20.085,14.171
-5.125974774628508,4.186,34.565,20.125,14.202
-19.10495945932587,2.174,31.871,18.815,13.312
-5.137540141713118,4.200,34.578,20.101,14.182
-11.878426169604214,3.101,33.206,19.167,13.548
-4.690710267891855,4.443,34.837,20.116,14.233
-4.806541552222122,4.393,34.778,20.115,14.196
-21.05862518061583,2.324,31.819,18.547,13.097
-20.895055761552857,2.356,31.879,18.563,13.11
-17.239129162990707,2.293,17.017,13.327,4.005
-15.315376022769167,2.663,15.394,13.452,3.844
-10.835850106854759,3.110,13.803,13.968,3.036
-11.84954881953332,2.747,14.107,14.101,2.844
-13.987058198860995,2.927,14.904,13.448,3.839
-12.629259690995,3.103,14.328,13.595,3.605
-10.35859567786023,3.048,13.71,14.151,2.819
-12.516880141857849,2.328,14.324,14.418,2.432
-8.96232558715582,3.703,13.071,14.003,3.032
-4.815256757352723,4.577,11.641,14.782,1.906
-9.404088335070794,3.677,13.178,13.913,3.137
-5.6103040765246535,4.323,11.99,14.584,2.192
-10.84355268220494,2.437,23.132,20.245,14.289
-4.713659579364687,4.428,21.058,20.125,14.218
-4.651653458159692,4.455,21.026,20.125,14.232
-18.038693427219165,2.642,23.476,18.75,13.221
-18.12468844008595,2.648,23.478,18.729,13.216
-17.887864044670625,2.658,23.452,18.755,13.226
-12.147465943759496,3.077,22.716,19.148,13.533
-17.389633083546208,2.692,23.384,18.787,13.251
-13.375478527744061,2.974,22.878,19.054,13.464
-15.324453934217747,2.831,23.122,18.912,13.362
-15.571739400667287,2.368,15.381,13.828,3.764
-14.839574733219058,2.618,15.103,13.702,3.787
-9.089091986701726,3.498,13.197,14.213,3.035
-9.239867677954466,2.831,13.248,15.928,2.48
-12.075664138922953,2.058,4.809,1.336,2.252
-11.406295255748544,2.559,4.234,1.154,2.168
-6.49628242509119,3.426,12.592,16.521,1.842
-9.099409389853319,2.854,13.218,15.952,2.454
-9.268663778259723,2.822,13.251,15.965,2.47
-20.670365875617378,2.112,5.873,3.082,2.231
-21.084546923922456,2.150,5.843,3.108,2.219
-18.225408085052727,2.005,6.099,3.115,2.229
-12.802026135994117,2.550,4.38,1.67,2.088
-13.566554559070223,2.550,4.452,1.881,2.071
-11.35020265476884,3.152,3.978,2.283,1.635
-11.882588328665655,2.884,4.146,2.016,1.835
-19.36255433777318,2.568,5.012,2.891,2.045
-14.604508997756316,2.879,4.409,2.551,1.797
-14.970978508303038,2.846,4.461,2.574,1.803
-15.560467764278698,2.811,4.526,2.617,1.848
-13.799384866170469,2.941,4.307,2.491,1.755
-18.841852586880186,2.603,4.941,2.853,2.015
-16.345744993283958,2.756,4.625,2.673,1.878
-4.200738408927318,4.857,11.321,14.971,1.648
-3.90954730163062,4.977,11.16,15.19,1.492
-3.9159234186942817,4.996,11.148,15.152,1.498
-3.812088407843104,5.086,11.055,15.131,1.425
-4.7180107841025505,4.623,11.595,14.821,1.876
-8.78683000157859,3.464,3.55,2.051,1.462
-4.658466701674832,4.451,2.398,1.382,0.989
-8.469312511493918,3.511,3.489,2.015,1.439
-5.073359048050607,4.283,2.582,1.489,1.047
-10.15725605777266,3.274,3.797,2.172,1.574
-16.679231668686693,2.184,17.034,13.441,3.979
-10.590024240394218,2.896,23.556,14.592,3.02
-9.664955161659881,2.763,23.87,15.661,2.574
-20.968566459888383,2.317,13.205,2.941,2.116
-20.09155981865232,2.433,13.428,2.867,2.064
-19.926376210176315,2.193,13.176,2.79,2.013
-9.323501138350252,3.668,24.097,13.956,3.135
-9.014050554633645,3.577,24.116,14.151,3.046
-9.192743407139194,3.641,24.11,14.024,3.102
-8.946708542536689,3.707,24.197,14.019,3.049
-8.104728790738559,3.044,24.254,16.033,2.302
-9.480229701808776,2.769,23.981,16.182,2.417
-4.097441987610268,4.501,25.707,16.135,1.362
-7.862628360131476,3.147,24.292,15.67,2.391
-4.2173488532104715,4.463,25.649,15.808,1.5
-13.31969110270264,2.522,14.181,1.778,2.086
-8.897216863522187,2.940,24.057,15.649,2.536
-21.40630047958799,2.185,12.855,3.101,2.208
-20.088757820551656,2.074,12.652,3.131,2.218
-6.7409041549008935,4.054,24.854,14.347,2.517
-7.325974468783263,3.950,24.673,14.247,2.668
-8.206951149706411,3.791,24.397,14.137,2.887
-5.269504859700441,4.422,25.395,14.664,2.076
-10.169725976989076,3.270,14.819,2.193,1.524
-6.761858652049652,3.818,15.508,1.799,1.269
-13.22532080428431,2.962,14.373,2.439,1.687
-15.814396227969699,2.769,14.063,2.593,1.902
-16.67303016185493,2.613,13.911,2.533,2.013
-11.047983884018791,3.185,14.7,2.27,1.614
-12.449858315403937,3.049,14.497,2.388,1.691
-9.007691986448448,3.423,15.021,2.083,1.453
-16.829576076787305,2.728,13.943,2.7,1.912
-18.450888512480283,2.626,13.733,2.807,2.005
-18.198030703882214,2.634,13.765,2.778,2.003
-15.277807796843994,2.271,19.784,6.323,3.756
-9.062472416759604,3.485,18.929,4.31,3.026
-14.384830219035159,2.151,4.022,3.316,2.165
-14.624038378224242,2.727,19.309,6.273,3.84
-10.428287643004595,2.613,21.214,3.251,2.283
-9.019319167237692,2.931,20.066,3.678,2.619
-4.13405123965489,4.866,18.687,2.267,1.615
-5.676179925073754,4.309,18.626,3.126,2.205
-18.83384719688388,2.593,4.942,2.863,1.994
-14.05735462054409,2.594,4.205,2.862,1.564
-19.707854423910874,2.039,5.589,3.608,2.267
-19.778197135677388,2.491,5.064,2.984,2.021
-12.465927230741805,3.045,4.126,2.404,1.686
-14.33838843308941,2.535,4.035,2.921,2.046
-18.931143946287197,2.586,4.939,2.87,2.038
-4.541494206916028,4.414,2.211,1.48,1.067
-13.10282166441435,2.589,4.038,2.885,1.434
-5.5480241260730825,4.118,2.734,1.599,1.157
-12.075032826518935,2.538,3.375,3.024,2.14
-10.133512648313715,3.269,3.791,2.212,1.518
-7.239703082530017,3.706,3.215,1.877,1.353
-4.746608006771229,4.408,2.423,1.414,1.022
-11.933294709168289,3.098,4.056,2.355,1.654
-16.967269434829042,2.222,17.151,8.052,3.972
-16.44709840629756,2.221,17.392,7.081,3.893
-17.288426776647828,2.085,13.879,3.381,2.161
-6.513554281493603,3.627,17.825,3.279,2.346
-9.134685317099791,3.514,18.377,4.332,3.066
-8.948233622538702,2.946,17.189,3.66,2.607
-9.890489859040107,2.694,16.329,3.326,2.332
-6.158838932132076,3.884,18.164,3.256,2.331
-8.247055509267645,3.003,16.554,3.085,2.161
-5.469383075300837,3.838,17.543,2.741,1.939
-5.583222989354307,4.287,18.548,3.071,2.192
-6.994602953438932,4.005,18.619,3.651,2.591
-12.713004977525518,2.512,15.058,2.994,2.134
-17.28601119400837,2.678,13.912,2.772,1.942
-12.347278126467485,2.005,14.704,3.544,1.16
-11.669536370840978,2.237,15.114,3.431,0.972
-5.520341714265685,3.859,16.356,2.027,1.439
-17.752645472003238,2.591,13.896,2.862,2.005
-8.25201770627728,3.535,15.171,2.002,1.382
-11.001150446343177,2.831,15.141,2.679,1.916
-6.177548446002342,3.958,15.673,1.705,1.201
-5.9321291751284395,4.020,15.746,1.666,1.174
-10.812134887079296,3.207,14.736,2.252,1.603
-20.770176393887887,2.121,12.961,3.554,2.227
-18.615968329118502,2.605,13.733,2.861,2.009
-21.09612220694414,2.166,13.05,3.467,2.168
-21.243447250607947,2.162,13.004,3.493,2.22
-20.996226646152063,2.381,13.368,3.15,2.107
-21.520057862259204,2.205,13.058,3.426,2.199
-4.2123059115033445,4.440,16.947,1.68,1.208
-4.312274022259835,4.377,16.918,1.732,1.245
-17.376197379640775,2.283,20.25,8.654,4.251
-19.73671443799355,2.503,9.272,10.274,2.045
-21.634825558353214,2.196,9.145,9.597,2.205
-19.432485700924673,2.172,8.981,10.059,1.926
-20.257669501587134,2.441,9.23,10.158,2.045
-21.207990608829178,2.167,9.533,9.555,2.207
-21.32554404560906,2.210,9.518,9.685,2.175
-15.620577877265413,2.087,15.42,10.75,3.931
-16.339015697344927,2.114,16.968,8.214,4.069
-10.217836350349547,2.013,25.089,12.127,2.769
-12.06908960203886,2.649,8.591,11.625,2.025
-12.303874615052193,2.563,8.479,11.62,2.099
-12.88013288903832,2.566,8.608,11.478,2.072
-8.137563608009243,3.806,24.453,14.089,2.877
-8.721071359147407,3.063,25.264,13.219,2.658
-8.868078607913052,3.362,24.595,13.604,2.959
-8.103372230336024,3.825,24.447,14.11,2.865
-3.8405581971642713,4.707,26.817,14.442,1.299
-10.65613829278957,2.595,26.541,12.174,2.267
-6.391754124189523,3.897,9.285,12.649,1.224
-8.048086577556663,3.130,8.618,12.155,0.99
-8.895250463969246,2.873,26.204,12.715,2.294
-9.581106465546824,2.746,26.036,12.643,2.419
-18.28588722325107,2.644,9.314,10.512,1.987
-18.88565487960296,2.608,9.311,10.42,2.017
-13.758804036279452,2.916,9.277,11.178,1.799
-8.238498250517543,3.081,8.592,12.11,0.988
-17.090506495231136,2.715,9.314,10.69,1.931
-15.029436596037776,2.588,8.961,11.054,2.032
-6.8878169569942,3.789,9.299,12.492,1.276
-8.579753145654841,3.479,9.294,12.062,1.406
-7.7129183630498135,3.622,9.294,12.266,1.338
-18.738425937728483,2.619,9.313,10.442,2.009
-15.738385968205627,2.799,9.313,10.88,1.861
-8.525991161583727,3.500,9.305,12.085,1.431
-15.900239662968218,2.096,14.97,11.226,3.895
-11.650397538587885,2.215,10.926,11.822,2.328
-10.054720644626613,2.014,11.884,12.06,2.662
-8.778557829538762,3.213,12.387,13.44,2.85
-8.980622940249965,2.939,11.787,13.045,2.591
-6.798579069762862,4.015,12.385,14.307,2.551
-9.645868510108645,3.650,13.236,13.872,3.203
-7.561688804550562,3.904,12.643,14.201,2.739
-10.658313755576208,2.622,10.627,12.126,2.21
-19.964529113702604,2.457,9.406,10.215,2.033
-20.103989191527216,2.479,9.378,10.202,2.058
-6.031947610277568,3.982,9.351,12.772,1.194
-19.914842219338247,2.497,9.371,10.237,2.046
-5.919333773812185,3.876,9.605,12.876,1.311
-18.45699561567471,2.623,9.329,10.491,2.012
-10.549317506259921,2.632,10.669,12.169,2.223
-3.8888486361830283,5.046,11.1,15.092,1.476
-4.293047482448689,4.469,9.678,13.678,1.099
-4.415193071064679,4.438,9.595,13.574,1.085
-5.857338050153074,3.666,10.248,13.158,1.639
-4.534602643726535,4.681,11.479,14.835,1.803
-5.344792181430992,4.198,9.336,13.041,1.096
-22.347278440683056,2.302,5.625,3.248,2.296
-21.625603175017734,2.218,5.557,3.208,2.475
-21.601254367636223,2.204,5.58,3.221,2.491
-21.573218536607094,2.191,5.798,3.141,2.221
-11.33806486448602,3.257,13.677,13.894,3.704
-21.956954527268774,2.232,5.592,3.228,2.438
-13.806580506953669,2.974,14.429,13.664,4.505
-13.585182352071325,3.014,14.364,13.651,4.431
-16.019239710930705,2.085,15.906,14.297,6.376
-17.31487389715805,2.419,15.899,13.965,6.497
-17.254319164418906,2.440,15.914,13.938,6.507
-17.37670190973896,2.376,15.713,14.007,6.314
-17.377475425693063,2.393,15.851,13.999,6.456
-17.32054554659143,2.422,15.845,13.96,6.444
-5.793666357317428,5.162,18.555,11.13,7.417
-12.203690573290263,2.708,18.268,13.258,6.172
-11.725957204734947,2.886,18.628,13.37,6.693
-5.781566607744766,5.191,18.555,11.106,7.438
-8.791205964540096,3.695,16.96,12.303,6.701
-6.733121319732754,4.393,17.771,11.817,7.302
-7.4770584540059595,4.067,17.503,12.112,7.195
-16.83610914011404,2.509,16.028,13.835,6.571
-9.180054538573419,3.588,17.043,12.536,6.954
-15.263015475311764,2.678,15.692,13.494,5.953
-12.5009780378604,3.176,15.681,12.8,5.417
-7.1639459235541425,4.418,17.372,11.477,6.614
-16.5440785456776,2.343,14.999,14.084,5.305
-16.14240915699316,2.571,15.494,13.67,5.855
-16.49247847248151,2.485,15.01,13.922,5.409
-14.666708476341372,2.799,14.604,13.743,4.785
-17.27789754014756,2.370,15.455,14.01,6.029
-16.377310328972438,2.501,14.969,13.917,5.351
-17.361644477594695,2.350,15.618,14.06,6.247
-15.971352179796307,2.592,15.384,13.652,5.713
-15.539961557715383,2.647,14.783,13.821,5.07
-16.756815694566715,2.464,15.161,13.905,5.614
-16.258167344772268,2.535,14.967,13.875,5.345
-15.2417879657103,2.697,14.718,13.796,4.967
-17.333300607868757,2.353,15.528,14.029,6.128
-15.845930890412104,2.598,14.848,13.848,5.174
-13.11601886905871,3.210,15.228,12.884,4.953
-13.054147067250808,3.336,15.195,12.745,4.819
-21.849901539729643,1.996,6.176,3.589,2.642
-21.500758773992178,2.179,5.822,3.148,2.223
-22.43103598667413,2.282,5.671,3.276,2.308
-13.957380867065137,2.947,22.757,13.651,4.565
-20.84814612339425,2.129,13.037,3.167,2.561
-11.171366943360736,2.964,23.605,14.367,3.547
-21.61823006239846,2.216,13.067,3.21,2.478
-19.182846332964708,2.580,13.642,2.878,2.037
-21.411909239373397,2.193,13.064,3.201,2.506
-22.282821128214657,2.313,13.036,3.228,2.283
-21.34979436444142,2.321,13.278,3.089,2.337
-10.80512239103732,3.397,23.723,13.861,3.56
-11.133996659814821,3.339,23.64,13.848,3.652
-12.273227647523283,3.167,23.325,13.77,3.983
-21.62484992061381,2.207,12.879,3.12,2.209
-21.682348930125894,2.219,12.9,3.119,2.206
-13.609217520237946,3.014,22.878,13.644,4.441
-13.887161242042758,2.962,22.793,13.66,4.537
-15.270012288839586,2.672,21.645,13.505,5.828
-17.26962742130874,2.317,21.776,14.086,6.07
-17.292404152926583,2.419,21.351,13.948,6.521
-11.199448003966557,3.224,20.543,12.932,6.797
-17.28346253965507,2.306,21.683,14.103,6.217
-11.07886593954742,3.242,20.79,12.771,6.368
-17.29657466133707,2.338,21.777,14.057,6.065
-17.187164500412514,2.282,21.705,14.137,6.188
-10.805134534370264,3.289,20.479,12.866,6.835
-5.7182754647146385,5.478,18.593,10.849,7.613
-11.827166972473693,2.058,18.732,14.198,6.443
-8.84470684762177,3.659,20.071,12.507,7.052
-5.715753013313448,5.505,18.687,10.778,7.579
-10.543182070853838,3.346,20.74,12.633,6.34
-10.358812767680108,3.364,20.42,12.778,6.851
-5.7237270441125085,5.443,18.662,10.895,7.635
-5.725762321783411,5.378,18.724,10.948,7.616
-5.7145243759799325,5.526,18.619,10.796,7.623
-5.716632410940173,5.510,18.62,10.829,7.637
-13.639181521941143,3.062,22.269,13.193,4.833
-17.21636586948665,2.342,21.887,14.047,5.914
-15.119736655636224,2.044,22.116,14.38,5.351
-17.006719369649964,2.398,22.01,13.966,5.738
-14.692027051322043,2.768,21.838,13.399,5.535
-16.769014310241026,2.462,22.091,13.913,5.608
-15.870910696565904,2.578,22.392,13.873,5.153
-14.23752897105682,2.893,22.707,13.686,4.655
-11.571288981087646,3.511,21.379,12.336,5.4
-11.582137679704305,3.466,21.38,12.393,5.438
-19.577948713047423,2.050,12.935,3.27,2.69
-22.368919765457928,2.292,12.996,3.259,2.304
-22.615165532944136,2.179,12.776,3.394,2.401
-21.568992820997565,2.200,13.046,3.226,2.497
-13.651192560214795,3.008,19.01,5.642,4.458
-20.654533067159644,2.384,5.183,3.019,2.257
-11.340246152466554,3.289,18.833,4.921,3.704
-12.193038451776033,3.184,18.875,5.169,3.958
-6.249993026351863,4.758,18.827,9.844,7.165
-6.218804037646001,4.749,18.908,9.857,7.277
-13.199554794811657,2.935,19.775,7.677,6.806
-15.428254339903482,2.680,19.871,7.238,6.627
-11.07905975342486,3.234,19.606,8.071,6.895
-15.031000816175304,2.726,19.824,7.291,6.618
-9.380629121843118,3.612,19.029,8.324,6.344
-13.623427536063975,2.545,21.189,9.307,6.551
-5.721244194142646,5.466,18.667,10.638,7.567
-5.71633787564899,5.514,18.639,10.687,7.568
-16.912823460789074,2.499,19.935,6.872,6.483
-15.585418324507332,2.645,19.377,5.957,5.109
-17.38634973149375,2.326,20.044,6.58,6.362
-16.30580671609425,2.508,19.521,6.043,5.357
-17.28245380194504,2.428,20.017,6.79,6.5
-17.32331469965526,2.335,19.939,6.421,6.172
-17.275398583005508,2.297,20.021,6.454,6.257
-17.32383250858038,2.329,19.967,6.441,6.217
-17.236203767403328,2.441,19.983,6.775,6.47
-16.475448579792875,2.533,19.766,6.797,6.239
-14.641489566708994,2.740,19.488,7.004,6.047
-9.563972116569342,3.703,18.795,8.268,6.036
-11.019288235692438,3.088,19.897,9.299,5.505
-13.719692155944516,2.996,19.02,5.656,4.485
-13.044465162412386,3.372,18.625,5.921,4.189
-13.907729250606039,2.971,18.202,5.729,4.556
-14.834683313997388,2.322,17.568,6.027,4.296
-13.408345972499463,3.139,18.383,5.867,4.43
-13.428820688258837,2.681,17.866,5.135,4.104
-12.968442798828653,3.070,18.295,5.368,4.202
-11.706975243071623,3.247,18.409,5.019,3.816
-13.727228321341839,2.980,18.232,5.662,4.487
-12.49256184216599,3.107,18.309,5.2,4.045
-13.163169893896415,3.282,18.532,5.947,4.308
-13.063308941389108,3.328,18.581,5.904,4.231
-9.123664718316755,3.604,17.82,8.539,7.006
-16.482832602928408,2.554,17.355,6.969,6.464
-10.258501187982505,3.376,17.699,8.26,6.956
-16.30854293051422,2.572,17.383,6.988,6.442
-10.443502197254064,3.348,17.962,8.06,6.49
-11.206881131097457,3.222,17.652,8.035,6.873
-9.672012992584959,3.498,17.834,8.358,6.896
-13.079348225476636,2.960,17.552,7.647,6.726
-11.141660910316668,3.236,17.686,8.031,6.842
-9.524946449480051,3.526,17.892,8.377,6.831
-9.285276753737286,3.577,17.869,8.462,6.923
-17.213069768721727,2.366,17.431,6.31,5.923
-17.003320972147456,2.417,17.534,6.252,5.754
-17.30650127333813,2.420,17.26,6.731,6.426
-17.209740842005957,2.285,17.266,6.374,6.139
-17.320941070867917,2.324,17.268,6.452,6.228
-17.203615132583227,2.283,17.241,6.401,6.191
-14.065074888625448,2.435,15.98,9.224,6.516
-5.721539482277489,5.447,18.482,10.754,7.568
-8.896539343731487,3.906,18.555,8.545,6.118
-6.003020285336197,4.843,17.988,10.422,7.4
-10.58301410123641,2.008,15.653,8.935,6.402
-9.576568195061437,3.289,16.701,9.682,6.798
-5.947282378922814,4.917,18.084,10.527,7.273
-8.601446435542888,3.527,16.901,9.759,6.94
-5.721790825521135,5.451,18.551,10.646,7.616
-5.722444376131713,5.456,18.49,10.742,7.594
-5.7176757439446915,5.497,18.539,10.731,7.628
-5.71597111840608,5.517,18.567,10.731,7.637
-5.71435759077315,5.537,18.633,10.715,7.591
-14.268168226919556,2.899,18.134,5.805,4.692
-15.490775405176953,2.675,17.91,5.991,5.125
-14.04136349055659,2.956,18.238,6.156,4.847
-13.033019768817196,2.659,21.092,9.367,6.59
-9.362110115544555,3.320,20.405,10.269,6.063
-5.852070515809257,5.114,19.155,10.801,7.536
-9.994547810269715,3.419,21.184,11.266,6.845
-11.83135907100075,2.059,21.639,9.104,6.414
-7.927100978744379,3.706,20.306,10.049,7.071
-5.793658644836647,5.199,19.06,10.774,7.568
-5.759880275498292,5.269,18.979,10.779,7.569
-8.967679523027506,3.645,20.87,11.352,6.716
-11.770445406974893,3.301,21.601,12.197,5.583
-11.67875141318818,3.429,21.484,12.308,5.437
-12.182872088149464,3.284,21.728,12.324,5.397
-12.695919102319046,3.271,21.922,12.496,5.125
-22.29625567289943,2.012,9.306,8.858,2.571
-22.427165231670955,2.282,9.321,9.589,2.316
-20.829382008472546,2.094,9.324,9.47,2.629
-22.62034626634801,2.181,9.325,9.353,2.404
-21.63387206239196,2.198,9.314,9.654,2.501
-22.33975370198559,2.303,9.315,9.64,2.294
-20.63728480841978,2.102,9.324,9.512,2.634
-21.510713453430807,2.181,9.317,9.631,2.525
-21.31377290057202,2.155,9.322,9.582,2.561
-6.3395758708872005,4.643,17.565,10.919,7.357
-6.110909067132424,4.821,17.767,10.866,7.429
-9.088055781892004,3.358,16.807,9.933,6.572
-6.669052053390615,4.284,17.566,10.452,6.849
-7.981844436264239,3.912,16.688,11.117,7.118
-16.793997081202914,2.478,14.408,11.923,5.932
-17.25874801888379,2.428,14.494,11.56,6.459
-14.995892238564826,2.263,15.903,10.269,5.103
-16.55104178994607,2.544,14.725,11.475,6.567
-8.339340037471663,3.807,16.559,11.162,7.061
-17.305402498418278,2.411,14.469,11.545,6.446
-17.184587380055916,2.455,14.527,11.549,6.475
-21.995786464247516,2.224,9.44,9.57,2.243
-21.543991956581372,2.196,9.495,9.561,2.212
-21.47519168448538,2.183,9.501,9.534,2.215
-19.022092402704914,2.600,9.314,10.4,2.026
-13.625311742444246,3.009,23.26,12.988,4.445
-10.24125327149063,3.540,23.905,13.747,3.373
-17.197084246571332,2.279,23.083,11.711,6.235
-16.95284079435986,2.494,22.619,11.468,6.609
-16.227261636570802,2.555,23.095,12.318,5.376
-17.069270797560403,2.470,22.654,11.467,6.598
-16.56857613441749,2.279,23.307,12.107,5.361
-16.311627030439464,2.532,23.12,12.304,5.378
-16.266123332837186,2.578,22.454,11.451,6.638
-17.244102709238028,2.295,23.074,11.736,6.215
-17.15190258287898,2.372,23.09,11.991,5.847
-14.49508185897,2.822,22.616,12.395,5.275
-16.83247726769219,2.514,22.586,11.465,6.615
-15.787297489595817,2.624,23.108,12.44,5.218
-15.545723237346271,2.631,23.226,12.532,5.037
-15.912628157814543,2.492,23.317,12.415,5.049
-14.062668936242583,2.919,23.241,12.886,4.595
-13.706938331908768,2.994,23.254,12.97,4.476
-18.88921721019137,2.575,9.333,10.434,2.062
-13.68136433239542,3.006,14.027,12.968,4.474
-13.767047010068405,2.961,13.965,12.947,4.473
-13.820876934768412,2.960,13.99,12.931,4.499
-13.509666010243459,3.056,14.077,13.0,4.429
-11.967588615769019,3.232,13.65,13.386,3.883
-17.10656782773174,2.410,14.211,11.988,5.847
-17.339115062536642,2.335,14.237,11.719,6.243
-17.2555374282314,2.300,14.181,11.738,6.182
-17.251076766424944,2.299,14.186,11.72,6.212
-17.133958881839742,2.407,14.219,11.97,5.876
-14.665349737844325,2.804,14.447,12.532,5.12
-16.91046762364614,2.441,14.194,12.089,5.712
-15.06748509779801,2.739,14.089,12.644,4.952
-15.006268768019202,2.751,14.084,12.659,4.929
-17.325474856710855,2.328,15.581,14.078,6.237
-12.22018732427316,2.877,13.728,14.187,3.971
-6.933839933741896,3.209,12.01,15.778,3.009
-9.41796607011296,2.482,12.383,16.361,3.401
-7.978780534084074,2.850,12.202,16.136,3.148
-9.636910626015833,2.365,12.444,16.763,3.295
-10.055216534182472,2.216,12.514,16.831,3.415
-9.77754073475981,2.319,12.476,16.862,3.289
-5.793612344206425,3.623,11.808,15.625,2.66
-8.379573943619834,3.776,12.864,14.078,2.948
-7.99292420515407,3.810,12.751,14.152,2.878
-9.669145047650874,2.717,3.25,1.862,2.513
-10.60203246604098,3.115,3.818,2.186,1.742
-5.08248983468407,4.186,2.527,1.47,1.218
-8.024223910337756,3.394,3.302,1.927,1.667
-9.65614112723945,2.979,3.503,2.035,2.042
-16.99798654089543,2.488,17.261,14.6,8.631
-17.216641511512154,2.416,17.161,14.581,8.494
