Ev(kJ/mol),Rv(A),x,y,z
-11.409836807050777,2.563,27.956,10.257,14.832
-11.649528006613302,3.269,18.43,5.25,3.471
-22.31886957699451,2.306,27.942,11.858,12.918
-19.34847818354193,2.572,27.941,11.161,13.165
-18.87680547844788,2.589,27.949,11.095,13.212
-13.810623537564915,2.990,18.229,6.175,3.871
-9.764697225994501,3.644,18.627,4.562,3.226
-13.286312100171024,3.192,18.441,6.095,4.079
-13.959103172448241,2.962,19.059,6.223,3.871
-13.09606197869928,3.367,18.621,5.976,4.218
-21.17412616020434,2.145,27.736,12.053,12.989
-22.43735210628995,2.279,27.944,11.931,12.902
-21.51267293909142,2.187,28.125,11.967,12.994
-20.983599784606664,2.146,28.16,11.99,13.031
-21.07134377644326,2.164,28.152,11.923,13.056
-13.218152938948586,3.228,18.477,6.07,4.108
-19.62340237129408,2.548,27.93,11.208,13.154
-21.583186132828903,2.200,27.764,11.941,12.997
-14.76128726990954,2.743,19.17,6.453,3.758
-17.256820697527584,2.308,19.906,7.844,3.942
-17.23611813670032,2.292,20.0,8.027,3.968
-17.03663348257773,2.246,20.043,8.122,3.935
-15.588902341477377,2.090,20.042,8.158,3.772
-17.212072007578502,2.360,19.814,7.689,3.958
-16.91985579330595,2.410,19.686,7.38,3.923
-14.603039556797327,2.822,19.176,6.435,3.851
-17.177767671405384,2.372,19.79,7.64,3.958
-16.02802759045323,2.576,19.452,6.973,3.91
-9.313778173893745,2.990,19.292,4.466,2.339
-8.0011879376578,3.834,18.642,4.016,2.817
-8.963989150824123,3.551,18.791,4.365,2.919
-14.464655052789425,2.143,19.677,5.944,2.969
-8.022818686176723,3.431,18.994,4.127,2.444
-7.587318784495791,3.883,18.645,3.887,2.702
-8.761134152099245,3.716,18.673,4.257,2.983
-13.585337952978394,2.983,19.038,6.004,3.761
-9.503385980454114,3.645,18.661,4.492,3.16
-10.712515544809655,2.412,19.859,4.634,1.806
-6.36828648274945,3.462,18.62,3.737,0.448
-4.904576457181585,4.551,18.624,2.76,1.931
-5.353974205971731,4.332,18.617,3.039,2.012
-7.249090033853594,3.222,18.613,4.021,0.584
-5.905546762947299,4.243,18.627,3.233,2.262
-5.27470013966609,4.408,18.618,2.963,2.046
-10.323726850698128,3.130,28.102,9.824,13.762
-4.6018125412316255,4.472,27.939,8.121,14.246
